,PC1,PC2
MFCC_0,-0.20347388683629067,-0.11496984122556389
MFCC_1,0.09730861808145441,0.459583489697808
MFCC_2,0.03108085435270515,-0.2339916503568426
MFCC_3,-0.06634517926535775,-0.37774270929529213
MFCC_4,-0.0426287232356213,-0.17288473292292741
MFCC_5,0.12463443168665088,0.0978071481944401
MFCC_6,0.20125103727159363,-0.11019461764080933
MFCC_7,0.10458799878714178,-0.3958848969973359
MFCC_8,0.361572273588862,-0.0005076003204913165
MFCC_9,0.23475047985923617,0.2947505348220091
MFCC_10,0.16727474593235622,0.25055436084355415
MFCC_11,-0.10706901079315685,-0.25638957276912017
MFCC_12,0.16885669626843441,-0.17498984800954615
MFCC_13,-0.10278850385776242,0.1042681399662364
MFCC_14,-0.20162825356086156,0.14167848781868084
MFCC_15,-0.21470336304052254,0.01625848002829605
MFCC_16,-0.0982550290136391,0.1777140649994192
MFCC_17,-0.2573844304493721,-0.024872425714130075
MFCC_18,-0.3081354815216714,0.07246486102763287
MFCC_19,-0.3572774493255519,0.06746806018204986
MFCC_20,-0.1764121793821793,0.05463998443479918
MFCC_21,-0.16517640062748642,0.00494547499412804
MFCC_22,-0.11193845127038538,0.18874070482959662
MFCC_23,-0.15982174948123837,0.08773675924878904
MFCC_24,-0.21300929546921815,0.05929278645107101
MFCC_25,-0.2889767392359181,-0.02698398750270861
